ksize,threads,time
100,1,0.050578
100,1,0.049210
100,1,0.047859
100,1,0.038084
100,1,0.049742
100,2,0.037903
100,2,0.049297
100,2,0.044890
100,2,0.044652
100,2,0.048985
100,4,0.049597
100,4,0.046791
100,4,0.051218
100,4,0.051481
100,4,0.047984
100,6,0.051003
100,6,0.045041
100,6,0.050079
100,6,0.048765
100,6,0.039156
100,8,0.049955
100,8,0.038893
100,8,0.035728
100,8,0.048811
100,8,0.048252
100,10,0.049225
100,10,0.041105
100,10,0.047876
100,10,0.048812
100,10,0.044358
100,12,0.039512
100,12,0.039393
100,12,0.038638
100,12,0.034925
100,12,0.049116
500,1,0.632130
500,1,0.635963
500,1,0.639715
500,1,0.637831
500,1,0.636753
500,2,0.622266
500,2,0.637509
500,2,0.630340
500,2,0.638644
500,2,0.635853
500,4,0.627269
500,4,0.638479
500,4,0.625252
500,4,0.633937
500,4,0.638494
500,6,0.631282
500,6,0.635512
500,6,0.638616
500,6,0.634115
500,6,0.638046
500,8,0.637424
500,8,0.637562
500,8,0.634079
500,8,0.639885
500,8,0.638172
500,10,0.637270
500,10,0.638243
500,10,0.639051
500,10,0.640615
500,10,0.627205
500,12,0.632959
500,12,0.634070
500,12,0.637147
500,12,0.631852
500,12,0.628295
1000,1,2.467605
1000,1,2.463768
1000,1,2.470953
1000,1,2.463722
1000,1,2.461929
1000,2,2.467389
1000,2,2.464124
1000,2,2.464742
1000,2,2.467012
1000,2,2.471617
1000,4,2.465573
1000,4,2.468132
1000,4,2.462781
1000,4,2.462936
1000,4,2.457802
1000,6,2.461136
1000,6,2.465990
1000,6,2.462074
1000,6,2.467966
1000,6,2.466235
1000,8,2.461832
1000,8,2.466758
1000,8,2.460508
1000,8,2.466020
1000,8,2.461845
1000,10,2.464245
1000,10,2.467425
1000,10,2.459098
1000,10,2.457850
1000,10,2.466720
1000,12,2.464109
1000,12,2.462787
1000,12,2.457396
1000,12,2.467055
1000,12,2.471173


