ksize,mpi_task,time,thread
1000,1,0.260284,12
1000,1,0.257334,12
1000,1,0.259105,12
1000,1,0.258356,12
1000,1,0.258088,12
1414,2,0.294818,12
1414,2,0.278715,12
1414,2,0.263674,12
1414,2,0.271002,12
1414,2,0.266925,12
1732,3,0.270349,12
1732,3,0.273298,12
1732,3,0.263845,12
1732,3,0.275536,12
1732,3,0.268360,12
2000,4,0.295943,12
2000,4,0.289432,12
2000,4,0.294124,12
2000,4,0.290798,12
2000,4,0.286855,12
2236,5,0.295517,12
2236,5,0.297631,12
2236,5,0.293526,12
2236,5,0.289548,12
2236,5,0.293580,12
2449,6,0.305511,12
2449,6,0.302609,12
2449,6,0.293296,12
2449,6,0.302936,12
2449,6,0.298874,12
2646,7,0.315831,12
2646,7,0.315202,12
2646,7,0.311610,12
2646,7,0.312561,12
2646,7,0.313119,12
2828,8,0.315854,12
2828,8,0.315426,12
2828,8,0.324745,12
2828,8,0.322507,12
2828,8,0.318174,12
