ksize,threads,time
100,1,0.041122
100,1,0.047574
100,1,0.027243
100,1,0.026695
100,1,0.026808
100,2,0.030131
100,2,0.030575
100,2,0.030632
100,2,0.030147
100,2,0.030758
100,4,0.017613
100,4,0.017789
100,4,0.017559
100,4,0.020159
100,4,0.017453
100,8,0.011803
100,8,0.011936
100,8,0.011595
100,8,0.012514
100,8,0.011986
100,12,0.009890
100,12,0.010145
100,12,0.009726
100,12,0.009855
100,12,0.010290
100,16,0.008851
100,16,0.008347
100,16,0.009301
100,16,0.009468
100,16,0.009105
100,20,0.007482
100,20,0.008422
100,20,0.008770
100,20,0.008759
100,20,0.008399
100,24,0.007726
100,24,0.008383
100,24,0.008542
100,24,0.008657
100,24,0.007216
100,28,0.007489
100,28,0.007528
100,28,0.007260
100,28,0.007182
100,28,0.008073
100,32,0.007806
100,32,0.007717
100,32,0.007346
100,32,0.007460
100,32,0.007720
100,36,0.008044
100,36,0.007636
100,36,0.007702
100,36,0.008105
100,36,0.007187
100,40,0.008031
100,40,0.007829
100,40,0.008329
100,40,0.008383
100,40,0.008086
100,44,0.007784
100,44,0.008429
100,44,0.008315
100,44,0.007861
100,44,0.008540
100,48,0.008516
100,48,0.009130
100,48,0.008653
100,48,0.008174
100,48,0.008811
100,52,0.008444
100,52,0.008900
100,52,0.009007
100,52,0.008519
100,52,0.008682
100,56,0.009783
100,56,0.008737
100,56,0.008497
100,56,0.008896
100,56,0.008667
100,60,0.008087
100,60,0.009588
100,60,0.008985
100,60,0.009400
100,60,0.008562
100,64,0.009704
100,64,0.010210
100,64,0.010125
100,64,0.008912
100,64,0.009708
500,1,0.586057
500,1,0.588338
500,1,0.586976
500,1,0.586891
500,1,0.586418
500,2,0.326989
500,2,0.325038
500,2,0.325052
500,2,0.326053
500,2,0.324298
500,4,0.182147
500,4,0.183436
500,4,0.183523
500,4,0.184100
500,4,0.185390
500,8,0.111336
500,8,0.112178
500,8,0.111627
500,8,0.111673
500,8,0.112203
500,12,0.084585
500,12,0.086678
500,12,0.084504
500,12,0.085052
500,12,0.083408
500,16,0.073254
500,16,0.072231
500,16,0.071474
500,16,0.073802
500,16,0.074068
500,20,0.065022
500,20,0.067781
500,20,0.066701
500,20,0.059490
500,20,0.068853
500,24,0.057670
500,24,0.059219
500,24,0.058723
500,24,0.058437
500,24,0.058657
500,28,0.053351
500,28,0.052664
500,28,0.052177
500,28,0.052410
500,28,0.050828
500,32,0.048072
500,32,0.049268
500,32,0.048664
500,32,0.048395
500,32,0.047392
500,36,0.045714
500,36,0.045849
500,36,0.043971
500,36,0.045082
500,36,0.045561
500,40,0.043375
500,40,0.041808
500,40,0.041657
500,40,0.042359
500,40,0.042588
500,44,0.039575
500,44,0.040290
500,44,0.039944
500,44,0.039924
500,44,0.038503
500,48,0.036889
500,48,0.037560
500,48,0.037376
500,48,0.037369
500,48,0.037956
500,52,0.035240
500,52,0.034871
500,52,0.035005
500,52,0.035163
500,52,0.036326
500,56,0.034875
500,56,0.033642
500,56,0.034728
500,56,0.033605
500,56,0.033743
500,60,0.032815
500,60,0.033911
500,60,0.032948
500,60,0.033656
500,60,0.033161
500,64,0.032236
500,64,0.031971
500,64,0.031696
500,64,0.033786
500,64,0.032627
1000,1,2.382040
1000,1,2.378814
1000,1,2.380314
1000,1,2.379693
1000,1,2.378795
1000,2,1.250129
1000,2,1.248451
1000,2,1.252819
1000,2,1.246755
1000,2,1.249536
1000,4,0.647700
1000,4,0.649661
1000,4,0.650415
1000,4,0.646287
1000,4,0.647067
1000,8,0.349803
1000,8,0.348239
1000,8,0.351150
1000,8,0.349705
1000,8,0.342604
1000,12,0.248970
1000,12,0.244728
1000,12,0.245483
1000,12,0.243902
1000,12,0.250624
1000,16,0.194804
1000,16,0.196957
1000,16,0.194846
1000,16,0.195341
1000,16,0.199598
1000,20,0.166544
1000,20,0.165785
1000,20,0.165121
1000,20,0.163840
1000,20,0.163204
1000,24,0.146931
1000,24,0.144615
1000,24,0.144458
1000,24,0.145431
1000,24,0.146277
1000,28,0.128629
1000,28,0.132291
1000,28,0.131986
1000,28,0.131982
1000,28,0.132972
1000,32,0.121595
1000,32,0.120765
1000,32,0.120975
1000,32,0.116461
1000,32,0.121103
1000,36,0.113942
1000,36,0.111847
1000,36,0.113119
1000,36,0.111389
1000,36,0.111204
1000,40,0.107018
1000,40,0.104008
1000,40,0.105516
1000,40,0.105845
1000,40,0.109133
1000,44,0.100120
1000,44,0.100536
1000,44,0.101213
1000,44,0.097938
1000,44,0.101405
1000,48,0.097083
1000,48,0.094692
1000,48,0.096222
1000,48,0.097300
1000,48,0.095688
1000,52,0.092712
1000,52,0.092116
1000,52,0.093744
1000,52,0.093335
1000,52,0.096118
1000,56,0.087883
1000,56,0.090358
1000,56,0.089552
1000,56,0.090755
1000,56,0.089937
1000,60,0.090767
1000,60,0.088200
1000,60,0.083941
1000,60,0.088070
1000,60,0.085518
1000,64,0.085486
1000,64,0.086735
1000,64,0.085875
1000,64,0.085984
1000,64,0.085796
